28 -> 24 fr=349 (0.6221), cf=1.000, gamma=1.607, delta=0.235, M=-3.686e+02
8 27 -> 28 fr=332 (0.5918), cf=0.965, gamma=1.551, delta=0.210, M=-2.614e+02
8 27 -> 24 fr=332 (0.5918), cf=0.965, gamma=1.551, delta=0.210, M=-2.614e+02
8 16 -> 13 fr=120 (0.2139), cf=0.909, gamma=3.723, delta=0.156, M=-2.013e+02
11 27 -> 28 fr=325 (0.5793), cf=0.881, gamma=1.416, delta=0.170, M=-1.666e+02
11 27 -> 24 fr=325 (0.5793), cf=0.881, gamma=1.416, delta=0.170, M=-1.666e+02
16 31 -> 30 fr=46 (0.0820), cf=1.000, gamma=12.196, delta=0.075, M=-1.563e+02
17 31 -> 30 fr=46 (0.0820), cf=1.000, gamma=12.196, delta=0.075, M=-1.563e+02
27 31 -> 30 fr=46 (0.0820), cf=1.000, gamma=12.196, delta=0.075, M=-1.563e+02
11 13 16 -> 7 fr=75 (0.1337), cf=0.708, gamma=5.292, delta=0.108, M=-1.561e+02
28 -> 27 fr=332 (0.5918), cf=0.951, gamma=1.368, delta=0.159, M=-1.544e+02
24 -> 27 fr=332 (0.5918), cf=0.951, gamma=1.368, delta=0.159, M=-1.544e+02
0 13 16 -> 7 fr=62 (0.1105), cf=0.969, gamma=7.246, delta=0.095, M=-1.520e+02
8 11 16 -> 7 fr=75 (0.1337), cf=0.652, gamma=4.878, delta=0.106, M=-1.459e+02
0 16 -> 7 fr=62 (0.1105), cf=0.925, gamma=6.922, delta=0.095, M=-1.437e+02
0 13 -> 7 fr=62 (0.1105), cf=0.912, gamma=6.820, delta=0.094, M=-1.412e+02
13 16 -> 7 fr=75 (0.1337), cf=0.625, gamma=4.675, delta=0.105, M=-1.409e+02
11 13 -> 7 fr=75 (0.1337), cf=0.615, gamma=4.598, delta=0.105, M=-1.389e+02
15 31 -> 30 fr=46 (0.0820), cf=0.852, gamma=10.389, delta=0.074, M=-1.356e+02
16 17 27 -> 30 fr=46 (0.0820), cf=0.836, gamma=10.200, delta=0.074, M=-1.337e+02
13 -> 16 fr=120 (0.2139), cf=0.876, gamma=2.761, delta=0.136, M=-1.317e+02
8 16 -> 7 fr=75 (0.1337), cf=0.568, gamma=4.250, delta=0.102, M=-1.301e+02
16 27 -> 30 fr=46 (0.0820), cf=0.793, gamma=9.672, delta=0.074, M=-1.288e+02
7 -> 13 fr=75 (0.1337), cf=1.000, gamma=4.095, delta=0.101, M=-1.260e+02
39 -> 37 fr=34 (0.0606), cf=1.000, gamma=16.500, delta=0.057, M=-1.256e+02
8 16 17 -> 19 fr=52 (0.0927), cf=0.800, gamma=7.874, delta=0.081, M=-1.248e+02
11 16 -> 7 fr=75 (0.1337), cf=0.500, gamma=3.740, delta=0.098, M=-1.164e+02
30 -> 31 fr=46 (0.0820), cf=1.000, gamma=7.012, delta=0.070, M=-1.042e+02
20 31 36 -> 39 fr=30 (0.0535), cf=1.000, gamma=16.500, delta=0.050, M=-1.037e+02
20 31 36 -> 37 fr=30 (0.0535), cf=1.000, gamma=16.500, delta=0.050, M=-1.037e+02
20 36 -> 39 fr=30 (0.0535), cf=0.968, gamma=15.968, delta=0.050, M=-1.003e+02
31 36 -> 39 fr=30 (0.0535), cf=0.968, gamma=15.968, delta=0.050, M=-1.003e+02
20 36 -> 37 fr=30 (0.0535), cf=0.968, gamma=15.968, delta=0.050, M=-1.003e+02
31 36 -> 37 fr=30 (0.0535), cf=0.968, gamma=15.968, delta=0.050, M=-1.003e+02
7 -> 16 fr=75 (0.1337), cf=1.000, gamma=3.152, delta=0.091, M=-9.929e+01
2 20 31 -> 39 fr=33 (0.0588), cf=0.767, gamma=12.663, delta=0.054, M=-9.798e+01
18 20 31 -> 39 fr=33 (0.0588), cf=0.767, gamma=12.663, delta=0.054, M=-9.798e+01
20 22 31 -> 39 fr=33 (0.0588), cf=0.767, gamma=12.663, delta=0.054, M=-9.798e+01
2 20 31 -> 37 fr=33 (0.0588), cf=0.767, gamma=12.663, delta=0.054, M=-9.798e+01
18 20 31 -> 37 fr=33 (0.0588), cf=0.767, gamma=12.663, delta=0.054, M=-9.798e+01
20 22 31 -> 37 fr=33 (0.0588), cf=0.767, gamma=12.663, delta=0.054, M=-9.798e+01
9 11 -> 1 fr=62 (0.1105), cf=0.827, gamma=4.684, delta=0.087, M=-9.766e+01
9 -> 1 fr=63 (0.1123), cf=0.808, gamma=4.577, delta=0.088, M=-9.685e+01
20 31 -> 39 fr=33 (0.0588), cf=0.750, gamma=12.375, delta=0.054, M=-9.660e+01
20 31 -> 37 fr=33 (0.0588), cf=0.750, gamma=12.375, delta=0.054, M=-9.660e+01
8 10 16 -> 19 fr=57 (0.1016), cf=0.438, gamma=4.315, delta=0.078, M=-9.498e+01
4 36 -> 39 fr=28 (0.0499), cf=1.000, gamma=16.500, delta=0.047, M=-9.455e+01
4 36 -> 37 fr=28 (0.0499), cf=1.000, gamma=16.500, delta=0.047, M=-9.455e+01
8 16 -> 19 fr=57 (0.1016), cf=0.432, gamma=4.250, delta=0.078, M=-9.385e+01
13 16 17 -> 19 fr=43 (0.0766), cf=0.768, gamma=7.557, delta=0.067, M=-9.141e+01
20 39 -> 36 fr=30 (0.0535), cf=0.909, gamma=14.167, delta=0.050, M=-9.139e+01
20 37 -> 36 fr=30 (0.0535), cf=0.909, gamma=14.167, delta=0.050, M=-9.139e+01
2 36 -> 39 fr=30 (0.0535), cf=0.857, gamma=14.143, delta=0.050, M=-9.105e+01
18 36 -> 39 fr=30 (0.0535), cf=0.857, gamma=14.143, delta=0.050, M=-9.105e+01
2 36 -> 37 fr=30 (0.0535), cf=0.857, gamma=14.143, delta=0.050, M=-9.105e+01
18 36 -> 37 fr=30 (0.0535), cf=0.857, gamma=14.143, delta=0.050, M=-9.105e+01
2 4 20 -> 39 fr=29 (0.0517), cf=0.906, gamma=14.953, delta=0.048, M=-9.055e+01
2 4 20 -> 37 fr=29 (0.0517), cf=0.906, gamma=14.953, delta=0.048, M=-9.055e+01
39 -> 36 fr=30 (0.0535), cf=0.882, gamma=13.750, delta=0.050, M=-8.926e+01
37 -> 36 fr=30 (0.0535), cf=0.882, gamma=13.750, delta=0.050, M=-8.926e+01
28 -> 8 fr=349 (0.6221), cf=1.000, gamma=1.166, delta=0.089, M=-8.916e+01
24 -> 8 fr=349 (0.6221), cf=1.000, gamma=1.166, delta=0.089, M=-8.916e+01
4 20 -> 39 fr=29 (0.0517), cf=0.853, gamma=14.074, delta=0.048, M=-8.654e+01
4 20 -> 37 fr=29 (0.0517), cf=0.853, gamma=14.074, delta=0.048, M=-8.654e+01
40 -> 39 fr=26 (0.0463), cf=1.000, gamma=16.500, delta=0.044, M=-8.601e+01
40 -> 37 fr=26 (0.0463), cf=1.000, gamma=16.500, delta=0.044, M=-8.601e+01
10 16 17 -> 19 fr=52 (0.0927), cf=0.486, gamma=4.783, delta=0.073, M=-8.410e+01
16 17 -> 30 fr=46 (0.0820), cf=0.414, gamma=5.054, delta=0.066, M=-8.358e+01
2 4 31 -> 39 fr=29 (0.0517), cf=0.806, gamma=13.292, delta=0.048, M=-8.316e+01
2 4 31 -> 37 fr=29 (0.0517), cf=0.806, gamma=13.292, delta=0.048, M=-8.316e+01
4 20 31 -> 36 fr=28 (0.0499), cf=0.903, gamma=14.075, delta=0.046, M=-8.307e+01
